id,alimento,energia_Kcal,energia_KJ,prot_tot_gr,glucidi_tot,lipidi_tot,saturi_tot,fkAllergene,fkTipologiaAlimento
283,"FIOCCHI DI LATTE MAGRO",102.00,427.00,11.70,2.60,5.30,3.17,7,6
284,"FIOCCHI DI MAIS (CORNFLAKES)",364.00,1523.00,6.60,88.10,0.80,0.13,15,1
285,"FIOCCHI DI RISO",346.00,1448.00,6.60,77.50,1.20,0.26,15,1
286,"FIOCCHI D'ORZO",360.00,1506.00,10.60,80.00,1.90,0.40,1,1
287,"FIOR DI LATTE",265.00,1109.00,20.60,2.00,20.30,12.60,7,6
288,"FIORI DI ZUCCA [CUCURBITA PEPO]",12.00,50.00,1.70,0.50,0.40,0.21,15,11
289,FOCACCIA,292.00,1222.00,8.40,40.70,11.80,2.00,1,2
290,"FOGLIE DI RAPA [BRASSICA RAPA]",22.00,92.00,2.60,2.80,0.10,0.02,15,11
291,FONTINA,343.00,1435.00,24.50,0.80,26.90,14.73,7,6
292,FORMAGGINO,309.00,1293.00,11.20,6.00,26.90,16.08,7,6
293,"FORMAGGINO, a basso tenore di lipidi",239.00,1000.00,14.70,6.50,17.30,10.34,7,6
294,"FORMAGGIO AL GORGONZOLA E AL MASCARPONE",406.00,1699.00,13.50,0.10,39.10,22.13,7,6
295,"FORMAGGIO SPALMABILE (tipo Philadelphia)",313.00,1310.00,8.60,2.00,31.00,18.52,7,6
296,"FRAGOLE [FRAGARIA VESCA]",27.00,113.00,0.90,5.30,0.40,0.02,15,9
297,"FRUMENTO DURO [TRITICUM DURUM]",314.00,1314.00,13.00,63.00,2.90,0.53,1,1
298,"FRUMENTO TENERO [TRITICUM AESTIVUM]",319.00,1335.00,12.30,65.80,2.60,0.60,1,1
299,"FUNGHI CHIODINI [ARMILLARIA MELLEA]",15.00,63.00,2.10,0.10,0.70,0.15,15,11
300,"FUNGHI GALLINACCI [CANTHARELLUS CIBARIUS FRIES]",11.00,46.00,1.60,0.20,0.50,0.09,15,11
301,"FUNGHI GALLINACCI, secchi",93.00,389.00,16.50,1.80,2.20,0.52,12,1
302,"FUNGHI IN SCATOLA",27.00,113.00,3.00,3.00,0.40,0.05,15,1
303,"FUNGHI OVULI [AMANITA CAESARIA, OVULO EDULE]",18.00,75.00,2.00,1.90,0.30,0.07,15,11
304,"FUNGHI PORCINELLI [LECINUM SCABRUM]",24.00,100.00,3.10,1.60,0.60,0.13,15,11
305,"FUNGHI PORCINI [BOLETUS EDULIS]",27.00,113.00,3.90,1.40,0.70,0.15,15,11
306,"FUNGHI PRATAIOLI, COLTIVATI [AGARICUS CAMPESTRIS]",20.00,84.00,2.30,1.90,0.40,0.10,15,11
307,"FUNGHI SECCHI",147.00,615.00,40.60,15.60,4.60,1.15,12,1
308,"FUNGHI SHIITAKE [LENTINUS EDODES], secchi",296.00,1238.00,16.30,63.90,1.00,0.25,12,1
309,"FUNGHI SOTT'OLIO",48.00,201.00,3.30,2.00,3.90,0.48,15,1
310,"FUNGHI SPUGNOLI [MORCHELLA ESCULENTA]",17.00,71.00,1.70,1.90,0.30,0.07,15,11
311,"GALLINA [GALLUS GALLUS]",195.00,816.00,20.90,0.20,12.30,4.09,15,7
312,"GAMBERETTI DI LAGO [ASTACUS spp]",105.00,439.00,17.10,0.00,4.10,0.69,"2, 12",13
313,"GAMBERETTI SURGELATI",63.00,264.00,13.60,2.00,1.00,0.17,"2, 12",13
314,"GAMBERO [CRANGON VULGARIS]",71.00,297.00,13.60,2.90,0.60,0.09,"2, 12",13
315,"GELATINA ALIMENTARE, secca",354.00,1481.00,88.30,0.00,0.10,0.04,12,1
316,"GELATO AL CIOCCOLATO",216.00,904.00,3.80,27.00,11.00,6.80,"3, 7",3
317,"GELATO ALLA FRUTTA",179.00,749.00,3.50,24.70,8.00,4.96,"3, 7",3
318,"GELATO FIOR DI LATTE",218.00,912.00,4.20,20.70,13.70,8.58,"3, 7",3
319,"GERME DI GRANO",416.00,1741.00,28.00,55.00,10.00,1.72,1,11
320,"GERMOGLI DI ERBA MEDICA [MEDICAGO SATIVA]",24.00,100.00,4.00,0.40,0.70,0.07,15,11
321,"GHIACCIOLO ALL'ARANCIO",137.00,573.00,0.00,36.50,0.00,0.00,15,3
322,"GIARDINIERA SOTT'ACETO",7.00,29.00,0.40,0.60,0.30,0.03,12,1
323,"GIARDINIERA SOTT'OLIO",58.00,243.00,2.60,1.30,4.80,0.58,15,1
324,"GIRASOLE, SEMI",581.00,2431.00,19.80,18.60,47.50,5.34,15,1
325,"GOMME DA MASTICARE",341.00,1427.00,0.00,96.70,0.30,0.04,15,1
326,GORGONZOLA,359.00,1502.00,19.40,0.10,31.20,15.08,7,6
327,"GORGONZOLA CON LE NOCI",371.00,1552.00,19.30,0.40,32.50,14.69,"8, 7",1
328,"GOUDA FRESCO",344.00,1439.00,23.00,2.00,28.00,17.97,7,6
329,"GOUDA STAGIONATO",361.00,1510.00,25.00,2.00,29.00,18.62,7,6
330,GRANA,381.00,1594.00,35.50,3.70,25.00,16.50,7,6
331,"GRANCHIO [CALLINECTES SAPIDUS]",87.00,364.00,18.10,2.00,1.10,0.22,2,13
332,"GRANCHIO, POLPA IN SCATOLA",77.00,322.00,18.10,2.00,0.50,0.10,2,13
333,"GRANITA DI LIMONE",106.00,444.00,2.00,28.40,0.00,0.00,15,3
334,"GRANITO DI TENERO",354.00,1481.00,9.20,82.30,1.00,0.23,15,1
335,GRAPPA,235.00,983.00,2.00,2.00,0.00,0.00,15,1
336,GRISSINI,433.00,1812.00,12.30,69.00,13.90,4.04,1,1
337,"GRISSINI INTEGRALI",443.00,1854.00,8.80,58.10,17.20,3.08,1,1
338,GROVIERA,388.00,1623.00,30.60,1.50,29.00,17.44,7,6
339,"HALIBUT [HIPPOGLOSSUS HIPPOGLOSSUS]",110.00,460.00,20.80,0.00,2.30,0.33,4,13
340,"INDIVIA [CHICORIUM ENDIVIA]",16.00,67.00,0.90,2.70,0.30,0.07,15,11
341,"INSALATA DI RISO",187.00,782.00,5.90,16.10,11.50,2.75,15,2
342,"IRISH MOSS [CHONDRUS CRISPUS], fresca",8.00,33.00,1.50,2.00,0.20,0.04,15,11
343,"ITALICO (tipo Bel Paese)",374.00,1565.00,25.40,0.10,30.20,14.67,7,6
344,"KAKI O LOTI [DIOSPYROS KAKI]",65.00,272.00,0.60,16.00,0.30,0.03,15,9
345,"KIWI [ACTINIDIA DELICIOSA]",44.00,184.00,1.20,9.00,0.60,0.04,15,9
346,"KOMBU [LAMINARIA spp], secca",43.00,180.00,7.10,2.00,1.60,0.71,15,1
347,"LAMPONI [RUBUS IDAEUS]",34.00,142.00,1.00,6.50,0.60,0.02,15,9
348,LARDO,891.00,3728.00,2.00,0.00,99.00,34.12,15,15
349,"LATTE DI BUFALA",102.00,427.00,4.40,5.10,7.30,4.86,7,6
350,"LATTE DI CAPRA",72.00,301.00,3.90,4.70,4.30,2.82,7,6
351,"LATTE DI MANDORLE",25.00,105.00,0.60,2.40,1.50,0.12,8,1
352,"LATTE DI PECORA",103.00,431.00,5.30,5.20,6.90,4.54,7,6
353,"LATTE DI SOIA",32.00,134.00,2.90,0.80,1.90,0.21,6,1
354,"LATTE DI VACCA, CONDENSATO, CON ZUCCHERO",327.00,1368.00,8.70,56.50,9.00,5.59,7,6
355,"LATTE DI VACCA, INTERO",61.00,255.00,3.10,4.80,3.40,2.11,7,6
356,"LATTE DI VACCA, INTERO UHT",61.00,255.00,3.20,4.70,3.40,2.11,7,6
357,"LATTE DI VACCA, INTERO VITAMINIZZATO",58.00,243.00,3.10,5.00,3.00,1.86,7,6
358,"LATTE DI VACCA, INTERO, IN POLVERE",484.00,2025.00,25.70,42.00,24.90,15.45,7,1
359,"LATTE DI VACCA, PARZIALMENTE SCREMATO",49.00,205.00,3.50,5.00,1.80,0.89,7,6
360,"LATTE DI VACCA, PARZIALMENTE SCREMATO UHT",49.00,205.00,3.60,4.90,1.80,0.89,7,6
361,"LATTE DI VACCA, PARZIALMENTE SCREMATO VITAMINIZZATO",45.00,188.00,3.10,5.00,1.50,0.74,7,6
362,"LATTE DI VACCA, PARZIALMENTE SCREMATO, IN POLVERE",418.00,1749.00,28.80,50.20,12.70,6.28,7,1
363,"LATTE DI VACCA, SCREMATO",36.00,151.00,3.60,5.30,0.20,0.14,7,6
364,"LATTE DI VACCA, SCREMATO IN POLVERE",351.00,1469.00,33.10,56.20,0.90,0.63,7,1
365,"LATTE DI VACCA, SCREMATO UHT",36.00,151.00,3.70,5.20,0.20,0.14,7,6
366,"LATTE EVAPORATO",151.00,632.00,8.40,8.50,9.40,5.83,7,6
367,LATTERIA,450.00,1883.00,30.70,2.00,36.40,22.59,7,6
368,"LATTERINI [ATHERINA BOYERI]",145.00,607.00,14.60,2.00,9.60,2.18,7,6
369,"LATTUGA [LACTUCA SATIVA]",19.00,79.00,1.80,2.20,0.40,0.05,15,11
370,"LATTUGA A CAPPUCCIO [LACTUCA SATIVA, CV CAPITATA]",19.00,79.00,1.50,3.00,0.20,0.03,15,11
371,"LATTUGA DA TAGLIO [LACTUCA SATIVA, CV ACEPHALA]",14.00,59.00,1.10,2.20,0.10,0.01,15,11
372,"LENTICCHIE [LENS ESCULENTA], secche",325.00,1360.00,25.00,54.00,2.50,0.34,15,1
373,"LENTICCHIE IN SCATOLA",61.00,255.00,5.00,10.70,0.40,0.05,15,1
374,"LEPRE [LEPUS EUROPAENUS], COSCIO",121.00,506.00,22.80,0.00,3.20,0.95,15,7
375,"LIEVITO DI BIRRA, COMPRESSO",56.00,234.00,12.10,1.10,0.40,0.05,15,2
376,"LIMETTE [CITRUS AURANTIFOLIA]",38.00,159.00,0.70,8.80,0.30,0.03,15,9
377,"LIMONE [CITRUS LIMONUM]",11.00,46.00,0.60,2.30,0.00,0.00,15,9
378,"LIMONE, SCORZA",69.00,289.00,1.50,16.00,0.30,0.04,15,9
379,"LINO, SEMI",373.00,1561.00,24.50,0.00,31.00,3.00,15,1
380,"LIQUIRIZIA DOLCE",349.00,1460.00,3.70,76.70,5.20,3.60,15,1
381,"LIQUORI DA DESSERT",313.00,1310.00,2.00,31.00,0.00,0.00,15,1
382,"LUCCIO [ESOX LUCIUS]",80.00,335.00,18.70,0.00,0.60,0.10,4,13
383,"LUMACA [HELIX POMATIA]",98.00,410.00,12.90,7.80,1.70,0.13,15,13
384,"LUMACHE DI MARE [BUCCINIDAE spp]",137.00,573.00,23.80,7.80,0.40,0.03,15,13
385,"LUPINI [LUPINUS ALBUS] DEAMARIZZATI",114.00,477.00,16.40,7.20,2.40,0.28,13,1
386,"MACEDONIA DI FRUTTA IN SCATOLA",57.00,238.00,0.40,14.80,2.00,0.00,15,1
387,"MAGGIORANA [MAJORANA HORTENSIS], secca",271.00,1134.00,12.70,42.50,7.00,1.17,15,1
388,MAIONESE,655.00,2741.00,4.20,2.20,70.00,8.82,15,1
389,"MAIS [ZEA MAYS]",355.00,1485.00,9.20,75.80,3.80,0.48,15,1
390,"MAIS DOLCE IN SCATOLA",122.00,510.00,2.90,26.60,1.20,0.15,15,1
391,"MAIS DOLCE, crudo",93.00,389.00,3.40,17.00,1.80,0.23,15,1
392,"MANDARANCI e CLEMENTINE",53.00,222.00,0.80,12.80,0.20,0.02,15,9
393,"MANDARINI [CITRUS NOBILIS]",72.00,301.00,0.90,17.60,0.30,0.04,15,9
394,"MANDORLE DOLCI [PRUNUS COMMUNIS]",542.00,2268.00,16.00,4.00,51.50,4.27,8,1
395,"MANGO [MANGIFERA INDICA]",57.00,238.00,0.70,14.10,0.20,0.05,15,9
396,MARGARINA,760.00,3180.00,0.60,0.40,84.00,26.41,15,2
397,"MARGARINA VEGETALE",746.00,3121.00,2.00,0.20,82.80,17.10,15,2
398,"MARMELLATA (ALBIC.,FICHI,MELE COT.,PESCHE, PRUGNE]",209.00,874.00,0.60,55.20,2.00,0.00,15,1
399,"MARMELLATA (AMARENE,CILIEGE,UVA,MARASCHE)",236.00,987.00,0.60,62.30,2.00,0.00,15,1
400,"MARMELLATA (NORMALI E TIPO FRUTTA VIVA)",222.00,929.00,0.50,58.70,2.00,0.00,15,1
401,"MARMELLATA A RIDOTTO TENORE DI ZUCCHERO",123.00,515.00,0.50,31.90,0.10,2.00,15,1
402,"MARMELLATA DI ALBICOCCHE",242.00,1013.00,0.70,63.20,0.20,0.01,15,1
403,"MARMELLATA DI ARANCE",261.00,1092.00,0.10,69.50,0.00,0.00,15,1
404,"MARMELLATA DI PRUGNE",134.00,561.00,2.10,31.20,0.60,0.03,15,1
405,"MARSALA ALL'UOVO",150.00,628.00,3.00,12.40,2.00,3.00,3,1
406,"MARSALA TIPICO",205.00,858.00,0.10,28.00,0.00,0.00,15,1
407,MASCARPONE,453.00,1895.00,7.60,2.00,47.00,29.17,7,6
408,"MELA [PYRUS MALUS]",45.00,188.00,0.20,11.00,0.30,0.07,15,9
409,"MELA COTOGNA [PYRUS CYDONIA]",34.00,142.00,0.30,6.30,1.00,0.10,15,9
410,"MELA, polpa secca",243.00,1017.00,0.90,57.20,0.30,0.05,15,1
411,"MELAGRANE [PUNICA GRANATUM]",63.00,264.00,0.50,15.90,0.20,0.03,15,9
412,"MELANZANE [SOLANUM MELONGEA]",15.00,63.00,1.10,2.60,0.10,0.02,15,9
413,"MELANZANE SOTT'OLIO",49.00,205.00,1.10,2.50,4.00,0.46,15,1
414,"MELONE D'ESTATE [CUCUMIS MELO]",33.00,138.00,0.80,7.40,0.20,0.05,15,9
415,"MELONE D'INVERNO [CUCUMIS MELO, CV INDORUS]",22.00,92.00,0.50,4.90,0.20,0.05,15,9
416,"MELU' O PESCE MOLO [GADUS POTASSOU]",72.00,301.00,17.40,0.00,0.30,0.06,4,13
417,"MENTA [MENTHA SPICATA], fresca",43.00,180.00,3.80,5.30,0.70,0.12,15,11
418,"MENTA, secca",279.00,1167.00,24.80,34.60,4.60,0.76,15,11
419,"MERENDINE AL CIOCCOLATO",352.00,1473.00,6.50,60.00,9.50,3.78,15,1
420,"MERENDINE CON MARMELLATA",359.00,1502.00,5.50,69.80,8.30,2.45,15,1
421,"MERENDINE FARCITE",414.00,1732.00,6.20,67.60,15.10,5.51,15,1
422,"MERENDINE TIPO PAN DI SPAGNA",463.00,1937.00,8.30,60.90,22.30,8.14,"1, 3",1
423,MERINGA,379.00,1586.00,5.30,95.40,2.00,2.00,3,1
424,"MERLUZZO [MERLUCCIUS MERLUCCIUS]",71.00,297.00,17.00,0.00,0.30,0.06,4,13
425,"MERLUZZO SURGELATO",75.00,314.00,17.30,0.00,0.60,0.11,4,14
426,MIELE,303.00,1268.00,0.60,80.30,0.00,0.00,15,1
427,"MIRTILLO NERO [VACCINIUM MYRTILLUS]",30.00,126.00,0.60,6.90,0.20,0.02,15,9
428,MISO,203.00,849.00,13.30,23.50,6.20,0.89,6,1
429,MONTASIO,411.00,1720.00,30.30,2.00,32.20,19.98,7,6
430,"MORA DI GELSO [MORUS NIGRA]",36.00,151.00,1.30,8.10,2.00,0.00,15,9
431,"MORA DI ROVO [RUBUS FRUTICOSUS]",26.00,109.00,1.30,5.70,2.00,0.00,15,9
432,"MORTADELLA DI SUINO",317.00,1326.00,14.70,1.50,28.10,9.22,15,7
433,"MORTADELLA DI SUINO E BOVINO",388.00,1623.00,13.30,0.50,37.00,12.14,15,7
434,MOZZARELLA,243.00,1017.00,19.90,4.90,16.10,10.01,7,6
435,"MOZZARELLA DI BUFALA",240.00,1004.00,15.70,3.30,18.30,11.47,7,6
436,MUESLI,364.00,1523.00,10.60,71.10,5.90,1.04,15,1
437,NATTO,212.00,887.00,17.70,9.00,11.00,1.59,6,1
438,"NESPOLE [ERIOBOTRYA JAPONICA]",28.00,117.00,0.40,6.10,0.40,0.08,15,9
439,"NOCCIOLE [CORYLUS AVELLANA]",625.00,2615.00,13.00,1.80,62.90,4.08,8,1
440,"NOCE DI COCCO [COCOS NUCIFERA]",351.00,1469.00,3.20,3.70,36.00,30.93,15,9
441,"NOCE MOSCATA [MYRISTICA FRAGRANS]",395.00,1653.00,8.80,26.30,29.00,20.72,15,1
442,"NOCI [JUGLANS REGIA], fresche",582.00,2435.00,10.50,5.50,57.70,4.72,8,1
443,"NOCI, secche",660.00,2761.00,15.80,6.30,63.70,5.21,8,1
444,"NORI [PORPHYRA LACINIATA], secca",136.00,569.00,30.70,2.00,1.50,0.33,15,1
445,"OCA [ANSER ANSER]",373.00,1561.00,15.80,0.00,34.40,9.39,15,7
446,"OLIO DI COCCO",899.00,3761.00,2.00,0.00,99.90,86.80,15,1
447,"OLIO DI COLZA",899.00,3761.00,2.00,0.00,99.90,6.31,15,1
448,"OLIO DI GERME DI GRANO",899.00,3761.00,2.00,0.00,99.90,18.50,1,1
449,"OLIO DI MAIS VITAMINIZZATO",899.00,3761.00,2.00,0.00,99.90,14.96,15,1
450,"OLIO DI OLIVA",900.00,3766.00,0.00,0.00,100.00,16.16,15,1
451,"OLIO DI OLIVA EXTRAVERGINE",900.00,3766.00,0.00,0.00,100.00,16.16,15,1
452,"OLIO DI OLIVA VITAMINIZZATO",900.00,3766.00,0.00,0.00,100.00,16.16,15,1
453,"OLIO DI PALMA",899.00,3761.00,2.00,0.00,99.90,47.10,15,1
454,"OLIO DI SEMI DI ARACHIDI",900.00,3766.00,0.00,0.00,100.00,19.39,5,1
455,"OLIO DI SEMI DI GIRASOLE",899.00,3761.00,2.00,0.00,99.90,11.24,15,1
456,"OLIO DI SEMI DI MAIS",899.00,3761.00,2.00,0.00,99.90,14.96,15,1
457,"OLIO DI SEMI VARI",900.00,3766.00,0.00,0.00,100.00,10.28,"8, 5",1
458,"OLIO DI SESAMO",898.00,3757.00,0.20,0.00,99.70,13.15,11,1
459,"OLIO DI SOIA",899.00,3761.00,2.00,0.00,99.90,14.02,6,1
460,"OLIO DI VINACCIOLO",899.00,3761.00,2.00,0.00,99.90,9.23,15,1
461,"OLIVE DA TAVOLA, CONSERVATE",268.00,1121.00,1.50,5.00,27.00,3.78,15,1
462,"OLIVE NERE [OLEA EUROPEA SATIVA]",234.00,979.00,1.60,0.80,25.10,3.51,15,1
463,"OLIVE VERDI [OLEA EUROPEA]",142.00,594.00,0.80,1.00,15.00,2.10,15,1
464,"OMBRINA [OMBRINA CIRROSA] SURGELATA",78.00,326.00,17.20,0.80,0.70,0.09,4,13
465,"ORATA [SPARUS AURATUS], SURGELATA",90.00,377.00,19.80,0.00,1.20,0.15,4,13
466,"ORIGANO [ORIGANUM VULGARE], fresco",66.00,276.00,2.20,9.70,2.00,0.52,15,1
467,"ORIGANO, secco macinato",306.00,1280.00,11.00,49.50,10.30,2.67,15,1
468,"ORTICA [URTICA DIOICA]",36.00,151.00,5.90,1.30,0.70,0.09,15,11
469,"ORZO [HORDEUM VULGARE], PERLATO",318.00,1331.00,10.40,70.50,1.40,0.29,1,1
470,"ORZO SOLUBILE O CAFFE' D'ORZO, in polvere",372.00,1556.00,5.50,80.90,3.40,0.63,1,1
471,"ORZO SOLUBILE O CAFFE' D'ORZO, in tazza",5.00,21.00,0.10,1.00,2.00,0.01,1,1
472,"OSTRICA [OSTREA EDULIS]",69.00,289.00,10.20,5.40,0.90,0.17,14,13
473,"OVINO, CUORE",134.00,561.00,16.90,0.40,7.20,2.78,15,7
474,"OVINO, FEGATO",135.00,565.00,19.50,2.00,5.50,1.70,15,7
475,"PALOMBO [MUSTELUS MUSTELUS]",80.00,335.00,16.00,1.30,1.20,0.17,4,13
476,"PAN DI SPAGNA",314.00,1314.00,8.50,59.40,6.40,2.34,"1, 3",1
477,"PANCARRE' AMERICANO COMUNE",267.00,1117.00,8.20,46.90,3.60,0.81,1,1
478,"PANCETTA AFFUMICATA O BACON",276.00,1155.00,15.80,0.00,23.60,8.00,15,7
479,"PANCETTA COPPATA",394.00,1648.00,20.90,0.70,34.20,14.00,15,7
480,"PANCETTA DI MAIALE",661.00,2766.00,8.40,1.00,69.30,24.30,15,7
481,"PANCETTA MAGRETTA",314.00,1314.00,21.70,0.00,25.30,9.28,15,7
482,"PANCETTA TESA",337.00,1410.00,20.90,0.00,28.10,9.61,15,7
483,"PANE AL LATTE",347.00,1452.00,8.60,64.90,7.60,2.70,"1, 7",1
484,"PANE ALLE OLIVE",286.00,1197.00,7.00,52.60,6.70,1.07,1,1
485,"PANE COMUNE, pezzatura da g",279.00,1167.00,8.10,64.70,0.20,0.05,1,1
486,"PANE CONDITO",284.00,1188.00,13.30,56.90,3.40,0.99,1,1
487,"PANE DI GRANO DURO",245.00,1025.00,10.10,49.10,2.30,0.41,1,1
488,"PANE DI GRANO E SEGALE",226.00,946.00,6.20,47.70,1.10,0.15,1,1
489,"PANE DI SEGALE",219.00,916.00,8.30,45.80,1.70,0.32,1,1
490,"PANE DI SEGALE BISCOTTATO",284.00,1188.00,9.40,46.70,3.60,0.69,1,1
491,"PANE DI SOIA",276.00,1155.00,12.00,41.70,6.80,1.04,"1, 6",1
492,"PANE GRATTUGIATO",354.00,1481.00,11.60,77.50,1.90,0.44,1,1
493,"PANE INTEGRALE",243.00,1017.00,7.50,53.80,1.30,0.30,1,1
494,"PANE TOSTATO",298.00,1247.00,8.80,69.20,0.50,0.12,1,1
495,"PANE, TIPO , pezzatura > g",267.00,1117.00,8.90,60.30,0.60,0.14,1,1
496,"PANE, TIPO , pezzatura da g",276.00,1155.00,8.10,64.00,0.50,0.11,1,1
497,"PANE, TIPO , pezzatura da g",290.00,1213.00,8.20,67.50,0.40,0.10,1,1
498,PANETTONE,334.00,1397.00,6.40,56.50,10.70,5.57,1,1
499,"PANINI ALL'OLIO",302.00,1264.00,7.70,58.30,5.80,0.96,15,1
500,"PANNA, % di lipidi",337.00,1410.00,2.30,3.40,35.00,20.47,7,6
501,"PANNA, % di lipidi",292.00,1222.00,2.60,3.20,30.00,17.55,7,6
502,"PANNA, % di lipidi (da cucina)",206.00,862.00,2.80,3.90,20.00,11.70,7,6
503,"PANNA, a basso contenuto di colesterolo",206.00,862.00,2.80,3.90,20.00,11.70,7,6
504,"PAPAYA [CARICA PAPAYA]",36.00,151.00,0.50,8.80,0.10,0.03,15,9
505,"PAPRIKA [CAPSICUM ANNUUM], in polvere",306.00,1280.00,14.80,34.80,13.00,2.11,15,1
506,PARMIGIANO,374.00,1565.00,36.00,2.00,25.60,16.89,7,6
507,"PASTA ALL'UOVO, fresca",309.00,1293.00,11.80,63.20,2.80,0.79,"1, 3",2
508,"PASTA ALL'UOVO, secca",368.00,1540.00,13.00,78.60,2.40,0.67,"1, 3",1
509,"PASTA DI MANDORLE",467.00,1954.00,8.00,54.30,25.80,2.14,8,1
510,"PASTA DI OLIVE",331.00,1385.00,1.40,4.50,34.30,5.02,15,1
511,"PASTA DI SEMOLA",341.00,1426.00,13.50,72.70,1.20,0.07,1,1
512,"PASTA DI SEMOLA INTEGRALE",324.00,1356.00,13.40,66.20,2.50,0.58,1,1
513,"PASTA FROLLA",480.00,2008.00,7.70,61.30,24.30,10.25,1,2
514,"PASTA SFOGLIA",560.00,2343.00,5.60,45.90,40.60,15.77,1,2
515,"PASTI DIETETICI SOSTITUTIVI",355.00,1485.00,26.00,41.50,9.40,2.00,15,2
516,"PASTICCINI AL COCCO",404.00,1690.00,3.60,70.40,12.70,11.24,15,2
517,PASTORELLA,364.00,1523.00,26.90,2.00,28.50,17.69,7,6
518,"PATATE [SOLANUM TUBEROSUM]",85.00,356.00,2.10,18.00,1.00,0.19,15,11
519,"PATATE DOLCI [IPOMAEA BATATAS]",87.00,364.00,1.20,21.30,0.30,0.06,15,11
520,"PATATE NOVELLE [SOLANUM TUBEROSUM]",67.00,280.00,2.00,15.80,0.00,0.00,15,11
521,"PATATE, FECOLA",349.00,1460.00,1.40,91.50,0.00,0.00,15,1
522,"PATATE, POLVERE ISTANTANEA",318.00,1331.00,9.10,73.20,0.80,0.19,15,1
523,"PATATINE IN SACCHETTO",536.00,2243.00,7.00,51.20,34.60,10.96,15,1
524,"PECORA [OVIS ARIES]",293.00,1226.00,17.00,0.00,25.00,11.80,15,7
525,PECORINO,366.00,1531.00,28.50,2.00,28.00,17.79,7,6
526,"PECORINO DA GRATTUGIARE",378.00,1582.00,29.50,2.00,28.90,18.36,7,6
527,"PECORINO ROMANO",379.00,1586.00,28.30,2.00,29.50,18.74,7,6
528,"PECORINO, FRESCO",332.00,1389.00,26.00,2.00,25.40,17.72,7,6
529,"PEPE NERO [PIPER NIGRUM]",255.00,1067.00,10.90,38.30,3.30,0.98,15,1
530,"PEPERONCINI PICCANTI [CAPSICUM ANNUUM]",25.00,105.00,1.80,3.80,0.50,0.09,15,11
531,"PEPERONI DOLCI [CAPSICUM ANNUUM]",22.00,92.00,0.90,4.20,0.30,0.05,15,11
532,"PEPERONI GIALLI [CAPSICUM ANNUUM, CV GROSSUM]",22.00,92.00,0.90,5.00,0.30,0.05,15,11
533,"PEPERONI SOTT'ACETO",15.00,63.00,0.80,1.70,0.60,0.09,12,1
534,"PERA [PYRUS COMMUNIS]",41.00,172.00,0.30,9.50,0.40,0.02,15,9
535,"PESCA [PRUNUS PERSICA]",27.00,113.00,0.80,6.10,0.10,0.01,15,9
536,"PESCA SCIROPPATA",87.00,364.00,0.40,22.90,2.00,0.00,15,1
537,"PESCE PERSICO [PERCA FLUVIATILIS]",75.00,314.00,15.40,2.00,1.50,0.30,4,13
538,"PESCE SPADA [XIPHIAS GLADIUS]",109.00,456.00,16.90,1.00,4.20,1.15,4,13
539,"PICCIONE ADULTO [COLUMBA LIVIA]",187.00,782.00,18.40,0.30,12.50,3.27,15,7
540,"PICCIONE GIOVANE [COLUMBA LIVIA]",138.00,577.00,22.10,0.00,5.50,1.44,15,7
541,"PINOLI [PINUS PINEA]",567.00,2372.00,29.60,5.00,47.80,7.35,8,1
542,"PISELLI [PISUM SATIVUM], freschi",76.00,318.00,7.00,12.40,0.20,0.08,15,11
543,"PISELLI IN SCATOLA",53.00,222.00,5.80,6.80,0.80,0.29,15,1
544,"PISELLI IN SCATOLA SGOCCIOLATI",53.00,222.00,5.80,6.80,0.80,0.29,15,1
545,"PISELLI SURGELATI",54.00,226.00,5.70,7.50,0.40,0.15,15,12
546,"PISELLI, secchi",306.00,1280.00,21.70,53.60,2.00,0.74,15,1
547,"PISTACCHI [PISTACIA VERA], freschi",390.00,1632.00,12.80,16.40,32.60,4.13,8,1
548,"PISTACCHI, secchi",577.00,2414.00,20.60,14.00,48.40,6.13,8,1
549,"PISTACCHI, tostati e salati",601.00,2515.00,17.90,8.20,55.40,7.02,8,1
550,"PIZZA CON POMODORO",247.00,1033.00,4.00,51.90,4.00,0.68,1,2
551,"PIZZA CON POMODORO E MOZZARELLA",271.00,1134.00,5.60,52.90,5.60,1.99,"1, 7",2
552,POLENTA,183.00,766.00,4.40,40.80,1.40,0.17,15,1
553,"POLLO [GALLUS GALLUS], INTERO",175.00,732.00,19.10,0.00,11.00,3.65,15,7
554,"POLLO, ALI",193.00,808.00,20.30,0.00,12.40,4.09,15,7
555,"POLLO, COSCIA",130.00,544.00,17.90,0.00,6.50,2.16,15,7
556,"POLLO, FEGATINI",122.00,510.00,20.50,2.00,4.50,1.40,15,7
557,"POLLO, PETTO",97.00,406.00,22.20,0.00,0.90,0.25,15,7
558,"POLLO, REGAGLIE",196.00,820.00,13.90,0.10,15.60,4.75,15,7
559,"POLPO [OCTOPUS VULGARIS]",57.00,238.00,10.60,1.40,1.00,0.23,14,13
560,"POLPO SURGELATO",51.00,213.00,12.40,2.00,0.20,0.05,"14, 7",14
561,"POMODORI DA INSALATA [SOLANUM LYCOPERSICUM]",17.00,71.00,1.20,2.80,0.20,0.03,15,11
562,"POMODORI MATURI [SOLANUM LYCOPERSICUM]",19.00,79.00,1.00,3.50,0.20,0.03,15,11
