"id";"alimento";"energia_Kcal";"energia_KJ";"prot_tot_gr";"glucidi_tot";"lipidi_tot";"saturi_tot";"fkAllergene1";"fkAllergene2";"fkAllergene3";"fkTipologiaAlimento"
261;"FARINA DI SEGALE, integrale";335.0;1402.0;8.2;75.9;2.0;0.23;1;0;0;4
262;"FARINA DI SEGALE, semi0integrale";316.0;1322.0;8.3;67.8;1.3;0.15;1;0;0;4
263;"FARINA DI SOIA, a basso contenuto lipidico";352.0;1473.0;45.3;28.2;7.2;1.0;6;0;0;4
264;"FARINA DI SOIA, intera";447.0;1870.0;36.8;23.5;23.5;3.3;6;0;0;4
265;"FARINA LATTEA";415.0;1736.0;13.2;81.5;6.3;3.0;7;0;0;6
266;"FAVE [VICIA FABA]";37.0;155.0;5.4;4.2;0.2;0.03;13;0;0;11
267;"FAVE SECCHE";342.0;1431.0;27.2;55.3;3.0;0.5;13;0;0;1
268;"FETA";250.0;1046.0;15.6;1.5;20.2;14.19;7;0;0;6
269;"FETTE BISCOTTATE";410.0;1715.0;11.3;83.0;6.0;0.83;1;0;0;1
270;"FETTE BISCOTTATE, DOLCI";404.0;1690.0;10.5;81.6;6.2;0.88;1;0;0;1
271;"FETTE BISCOTTATE, INTEGRALI";365.0;1527.0;11.2;74.1;5.2;0.76;1;0;0;1
272;"FETTE BISCOTTATE, VITAMINIZZATE";410.0;1715.0;11.3;83.0;6.0;0.83;1;0;0;1
273;"FETTE DI SEGALE INTEGRALI";366.0;1531.0;7.9;65.7;1.3;0.15;1;0;0;1
274;"FICHI [FICUS CARICA]";47.0;197.0;0.9;11.2;0.2;0.04;15;0;0;9
275;"FICHI D'INDIA [OPUNTIA FICUS INDICA]";53.0;222.0;0.8;13.0;0.1;0.01;15;0;0;9
276;"FICHI SECCATI AL FORNO E MANDORLATI";277.0;1159.0;5.2;58.2;4.2;0.84;15;0;0;1
277;"FICHI SECCATI AL SOLE";232.0;971.0;3.6;52.9;2.1;0.42;15;0;0;1
278;"FICHI SECCHI";242.0;1013.0;3.5;58.0;2.7;0.54;15;0;0;1
279;"FINOCCHIO [PHOENICULUM VULGARE]";9.0;38.0;1.2;1.0;0.0;0.0;15;0;0;11
280;"FINOCCHIO [PHOENICULUM VULGARE], SEMI";345.0;1443.0;15.8;12.5;14.9;0.48;15;0;0;11
281;"FIOCCHI DI AVENA";395.0;1653.0;8.0;73.5;7.5;1.32;1;0;0;1
282;"FIOCCHI DI CRUSCA DI GRANO";319.0;1335.0;10.2;69.7;1.9;0.44;1;0;0;1
283;"FIOCCHI DI LATTE MAGRO";102.0;427.0;11.7;2.6;5.3;3.17;7;0;0;6
284;"FIOCCHI DI MAIS (CORNFLAKES)";364.0;1523.0;6.6;88.1;0.8;0.13;15;0;0;1
285;"FIOCCHI DI RISO";346.0;1448.0;6.6;77.5;1.2;0.26;15;0;0;1
286;"FIOCCHI D'ORZO";360.0;1506.0;10.6;80.0;1.9;0.4;1;0;0;1
287;"FIOR DI LATTE";265.0;1109.0;20.6;2.0;20.3;12.6;7;0;0;6
288;"FIORI DI ZUCCA [CUCURBITA PEPO]";12.0;50.0;1.7;0.5;0.4;0.21;15;0;0;11
289;"FOCACCIA";292.0;1222.0;8.4;40.7;11.8;2.0;1;0;0;2
290;"FOGLIE DI RAPA [BRASSICA RAPA]";22.0;92.0;2.6;2.8;0.1;0.02;15;0;0;11
291;"FONTINA";343.0;1435.0;24.5;0.8;26.9;14.73;7;0;0;6
292;"FORMAGGINO";309.0;1293.0;11.2;6.0;26.9;16.08;7;0;0;6
293;"FORMAGGINO, a basso tenore di lipidi";239.0;1000.0;14.7;6.5;17.3;10.34;7;0;0;6
294;"FORMAGGIO AL GORGONZOLA E AL MASCARPONE";406.0;1699.0;13.5;0.1;39.1;22.13;7;0;0;6
295;"FORMAGGIO SPALMABILE (tipo Philadelphia)";313.0;1310.0;8.6;2.0;31.0;18.52;7;0;0;6
296;"FRAGOLE [FRAGARIA VESCA]";27.0;113.0;0.9;5.3;0.4;0.02;15;0;0;9
297;"FRUMENTO DURO [TRITICUM DURUM]";314.0;1314.0;13.0;63.0;2.9;0.53;1;0;0;1
298;"FRUMENTO TENERO [TRITICUM AESTIVUM]";319.0;1335.0;12.3;65.8;2.6;0.6;1;0;0;1
299;"FUNGHI CHIODINI [ARMILLARIA MELLEA]";15.0;63.0;2.1;0.1;0.7;0.15;15;0;0;11
300;"FUNGHI GALLINACCI [CANTHARELLUS CIBARIUS FRIES]";11.0;46.0;1.6;0.2;0.5;0.09;15;0;0;11
301;"FUNGHI GALLINACCI, secchi";93.0;389.0;16.5;1.8;2.2;0.52;12;0;0;1
302;"FUNGHI IN SCATOLA";27.0;113.0;3.0;3.0;0.4;0.05;15;0;0;1
303;"FUNGHI OVULI [AMANITA CAESARIA, OVULO EDULE]";18.0;75.0;2.0;1.9;0.3;0.07;15;0;0;11
304;"FUNGHI PORCINELLI [LECINUM SCABRUM]";24.0;100.0;3.1;1.6;0.6;0.13;15;0;0;11
305;"FUNGHI PORCINI [BOLETUS EDULIS]";27.0;113.0;3.9;1.4;0.7;0.15;15;0;0;11
306;"FUNGHI PRATAIOLI, COLTIVATI [AGARICUS CAMPESTRIS]";20.0;84.0;2.3;1.9;0.4;0.1;15;0;0;11
307;"FUNGHI SECCHI";147.0;615.0;40.6;15.6;4.6;1.15;12;0;0;1
308;"FUNGHI SHIITAKE [LENTINUS EDODES], secchi";296.0;1238.0;16.3;63.9;1.0;0.25;12;0;0;1
309;"FUNGHI SOTT'OLIO";48.0;201.0;3.3;2.0;3.9;0.48;15;0;0;1
310;"FUNGHI SPUGNOLI [MORCHELLA ESCULENTA]";17.0;71.0;1.7;1.9;0.3;0.07;15;0;0;11
311;"GALLINA [GALLUS GALLUS]";195.0;816.0;20.9;0.2;12.3;4.09;15;0;0;7
312;"GAMBERETTI DI LAGO [ASTACUS spp]";105.0;439.0;17.1;0.0;4.1;0.69;2;12;0;13
313;"GAMBERETTI SURGELATI";63.0;264.0;13.6;2.0;1.0;0.17;2;12;0;13
314;"GAMBERO [CRANGON VULGARIS]";71.0;297.0;13.6;2.9;0.6;0.09;2;12;0;13
315;"GELATINA ALIMENTARE, secca";354.0;1481.0;88.3;0.0;0.1;0.04;12;0;0;1
316;"GELATO AL CIOCCOLATO";216.0;904.0;3.8;27.0;11.0;6.8;3;7;0;3
317;"GELATO ALLA FRUTTA";179.0;749.0;3.5;24.7;8.0;4.96;3;7;0;3
318;"GELATO FIOR DI LATTE";218.0;912.0;4.2;20.7;13.7;8.58;3;7;0;3
319;"GERME DI GRANO";416.0;1741.0;28.0;55.0;10.0;1.72;1;0;0;11
320;"GERMOGLI DI ERBA MEDICA [MEDICAGO SATIVA]";24.0;100.0;4.0;0.4;0.7;0.07;15;0;0;11
321;"GHIACCIOLO ALL'ARANCIO";137.0;573.0;0.0;36.5;0.0;0.0;15;0;0;3
322;"GIARDINIERA SOTT'ACETO";7.0;29.0;0.4;0.6;0.3;0.03;12;0;0;1
323;"GIARDINIERA SOTT'OLIO";58.0;243.0;2.6;1.3;4.8;0.58;15;0;0;1
324;"GIRASOLE, SEMI";581.0;2431.0;19.8;18.6;47.5;5.34;15;0;0;1
325;"GOMME DA MASTICARE";341.0;1427.0;0.0;96.7;0.3;0.04;15;0;0;1
326;"GORGONZOLA";359.0;1502.0;19.4;0.1;31.2;15.08;7;0;0;6
327;"GORGONZOLA CON LE NOCI";371.0;1552.0;19.3;0.4;32.5;14.69;8;7;0;1
328;"GOUDA FRESCO";344.0;1439.0;23.0;2.0;28.0;17.97;7;0;0;6
329;"GOUDA STAGIONATO";361.0;1510.0;25.0;2.0;29.0;18.62;7;0;0;6
330;"GRANA";381.0;1594.0;35.5;3.7;25.0;16.5;7;0;0;6
331;"GRANCHIO [CALLINECTES SAPIDUS]";87.0;364.0;18.1;2.0;1.1;0.22;2;0;0;13
332;"GRANCHIO, POLPA IN SCATOLA";77.0;322.0;18.1;2.0;0.5;0.1;2;0;0;13
333;"GRANITA DI LIMONE";106.0;444.0;2.0;28.4;0.0;0.0;15;0;0;0
334;"GRANITO DI TENERO";354.0;1481.0;9.2;82.3;1.0;0.23;15;0;0;0
335;"GRAPPA";235.0;983.0;2.0;2.0;0.0;0.0;15;0;0;0
336;"GRISSINI";433.0;1812.0;12.3;69.0;13.9;4.04;1;0;0;0
337;"GRISSINI INTEGRALI";443.0;1854.0;8.8;58.1;17.2;3.08;1;0;0;0
338;"GROVIERA";388.0;1623.0;30.6;1.5;29.0;17.44;7;0;0;6
339;"HALIBUT [HIPPOGLOSSUS HIPPOGLOSSUS]";110.0;460.0;20.8;0.0;2.3;0.33;4;0;0;13
340;"INDIVIA [CHICORIUM ENDIVIA]";16.0;67.0;0.9;2.7;0.3;0.07;15;0;0;11
341;"INSALATA DI RISO";187.0;782.0;5.9;16.1;11.5;2.75;15;0;0;2
342;"IRISH MOSS [CHONDRUS CRISPUS], fresca";8.0;33.0;1.5;2.0;0.2;0.04;15;0;0;11
343;"ITALICO (tipo Bel Paese)";374.0;1565.0;25.4;0.1;30.2;14.67;7;0;0;6
344;"KAKI O LOTI [DIOSPYROS KAKI]";65.0;272.0;0.6;16.0;0.3;0.03;15;0;0;9
345;"KIWI [ACTINIDIA DELICIOSA]";44.0;184.0;1.2;9.0;0.6;0.04;15;0;0;9
346;"KOMBU [LAMINARIA spp], secca";43.0;180.0;7.1;2.0;1.6;0.71;15;0;0;1
347;"LAMPONI [RUBUS IDAEUS]";34.0;142.0;1.0;6.5;0.6;0.02;15;0;0;9
348;"LARDO";891.0;3728.0;2.0;0.0;99.0;34.12;15;0;0;7
349;"LATTE DI BUFALA";102.0;427.0;4.4;5.1;7.3;4.86;7;0;0;6
350;"LATTE DI CAPRA";72.0;301.0;3.9;4.7;4.3;2.82;7;0;0;6
351;"LATTE DI MANDORLE";25.0;105.0;0.6;2.4;1.5;0.12;8;0;0;1
352;"LATTE DI PECORA";103.0;431.0;5.3;5.2;6.9;4.54;7;0;0;6
353;"LATTE DI SOIA";32.0;134.0;2.9;0.8;1.9;0.21;6;0;0;1
354;"LATTE DI VACCA, CONDENSATO, CON ZUCCHERO";327.0;1368.0;8.7;56.5;9.0;5.59;7;0;0;6
355;"LATTE DI VACCA, INTERO";61.0;255.0;3.1;4.8;3.4;2.11;7;0;0;6
356;"LATTE DI VACCA, INTERO UHT";61.0;255.0;3.2;4.7;3.4;2.11;7;0;0;6
357;"LATTE DI VACCA, INTERO VITAMINIZZATO";58.0;243.0;3.1;5.0;3.0;1.86;7;0;0;6
358;"LATTE DI VACCA, INTERO, IN POLVERE";484.0;2025.0;25.7;42.0;24.9;15.45;7;0;0;1
359;"LATTE DI VACCA, PARZIALMENTE SCREMATO";49.0;205.0;3.5;5.0;1.8;0.89;7;0;0;6
360;"LATTE DI VACCA, PARZIALMENTE SCREMATO UHT";49.0;205.0;3.6;4.9;1.8;0.89;7;0;0;6
361;"LATTE DI VACCA, PARZIALMENTE SCREMATO VITAMINIZZATO";45.0;188.0;3.1;5.0;1.5;0.74;7;0;0;6
362;"LATTE DI VACCA, PARZIALMENTE SCREMATO, IN POLVERE";418.0;1749.0;28.8;50.2;12.7;6.28;7;0;0;1
363;"LATTE DI VACCA, SCREMATO";36.0;151.0;3.6;5.3;0.2;0.14;7;0;0;6
364;"LATTE DI VACCA, SCREMATO IN POLVERE";351.0;1469.0;33.1;56.2;0.9;0.63;7;0;0;1
365;"LATTE DI VACCA, SCREMATO UHT";36.0;151.0;3.7;5.2;0.2;0.14;7;0;0;6
366;"LATTE EVAPORATO";151.0;632.0;8.4;8.5;9.4;5.83;7;0;0;6
367;"LATTERIA";450.0;1883.0;30.7;2.0;36.4;22.59;7;0;0;6
368;"LATTERINI [ATHERINA BOYERI]";145.0;607.0;14.6;2.0;9.6;2.18;7;0;0;6
369;"LATTUGA [LACTUCA SATIVA]";19.0;79.0;1.8;2.2;0.4;0.05;15;0;0;11
370;"LATTUGA A CAPPUCCIO [LACTUCA SATIVA, CV CAPITATA]";19.0;79.0;1.5;3.0;0.2;0.03;15;0;0;11
371;"LATTUGA DA TAGLIO [LACTUCA SATIVA, CV ACEPHALA]";14.0;59.0;1.1;2.2;0.1;0.01;15;0;0;11
372;"LENTICCHIE [LENS ESCULENTA], secche";325.0;1360.0;25.0;54.0;2.5;0.34;15;0;0;1
373;"LENTICCHIE IN SCATOLA";61.0;255.0;5.0;10.7;0.4;0.05;15;0;0;1
374;"LEPRE [LEPUS EUROPAENUS], COSCIO";121.0;506.0;22.8;0.0;3.2;0.95;15;0;0;7
375;"LIEVITO DI BIRRA, COMPRESSO";56.0;234.0;12.1;1.1;0.4;0.05;15;0;0;2
376;"LIMETTE [CITRUS AURANTIFOLIA]";38.0;159.0;0.7;8.8;0.3;0.03;15;0;0;9
377;"LIMONE [CITRUS LIMONUM]";11.0;46.0;0.6;2.3;0.0;0.0;15;0;0;9
378;"LIMONE, SCORZA";69.0;289.0;1.5;16.0;0.3;0.04;15;0;0;9
379;"LINO, SEMI";373.0;1561.0;24.5;0.0;31.0;3.0;15;0;0;1
380;"LIQUIRIZIA DOLCE";349.0;1460.0;3.7;76.7;5.2;3.6;15;0;0;1
381;"LIQUORI DA DESSERT";313.0;1310.0;2.0;31.0;0.0;0.0;15;0;0;1
382;"LUCCIO [ESOX LUCIUS]";80.0;335.0;18.7;0.0;0.6;0.1;4;0;0;13
383;"LUMACA [HELIX POMATIA]";98.0;410.0;12.9;7.8;1.7;0.13;15;0;0;13
384;"LUMACHE DI MARE [BUCCINIDAE spp]";137.0;573.0;23.8;7.8;0.4;0.03;15;0;0;13
385;"LUPINI [LUPINUS ALBUS] DEAMARIZZATI";114.0;477.0;16.4;7.2;2.4;0.28;13;0;0;1
386;"MACEDONIA DI FRUTTA IN SCATOLA";57.0;238.0;0.4;14.8;2.0;0.0;15;0;0;1
387;"MAGGIORANA [MAJORANA HORTENSIS], secca";271.0;1134.0;12.7;42.5;7.0;1.17;15;0;0;1
388;"MAIONESE";655.0;2741.0;4.2;2.2;70.0;8.82;15;0;0;1
389;"MAIS [ZEA MAYS]";355.0;1485.0;9.2;75.8;3.8;0.48;15;0;0;1
390;"MAIS DOLCE IN SCATOLA";122.0;510.0;2.9;26.6;1.2;0.15;15;0;0;1
391;"MAIS DOLCE, crudo";93.0;389.0;3.4;17.0;1.8;0.23;15;0;0;1
392;"MANDARANCI e CLEMENTINE";53.0;222.0;0.8;12.8;0.2;0.02;15;0;0;9
393;"MANDARINI [CITRUS NOBILIS]";72.0;301.0;0.9;17.6;0.3;0.04;15;0;0;9
394;"MANDORLE DOLCI [PRUNUS COMMUNIS]";542.0;2268.0;16.0;4.0;51.5;4.27;8;0;0;1
395;"MANGO [MANGIFERA INDICA]";57.0;238.0;0.7;14.1;0.2;0.05;15;0;0;9
396;"MARGARINA";760.0;3180.0;0.6;0.4;84.0;26.41;15;0;0;2
397;"MARGARINA VEGETALE";746.0;3121.0;2.0;0.2;82.8;17.1;15;0;0;2
398;"MARMELLATA (ALBIC.,FICHI,MELE COT.,PESCHE, PRUGNE]";209.0;874.0;0.6;55.2;2.0;0.0;15;0;0;1
399;"MARMELLATA (AMARENE,CILIEGE,UVA,MARASCHE)";236.0;987.0;0.6;62.3;2.0;0.0;15;0;0;1
400;"MARMELLATA (NORMALI E TIPO FRUTTA VIVA)";222.0;929.0;0.5;58.7;2.0;0.0;15;0;0;1
401;"MARMELLATA A RIDOTTO TENORE DI ZUCCHERO";123.0;515.0;0.5;31.9;0.1;2.0;15;0;0;1
402;"MARMELLATA DI ALBICOCCHE";242.0;1013.0;0.7;63.2;0.2;0.01;15;0;0;1
403;"MARMELLATA DI ARANCE";261.0;1092.0;0.1;69.5;0.0;0.0;15;0;0;1
404;"MARMELLATA DI PRUGNE";134.0;561.0;2.1;31.2;0.6;0.03;15;0;0;1
405;"MARSALA ALL'UOVO";150.0;628.0;3.0;12.4;2.0;3.0;3;0;0;1
406;"MARSALA TIPICO";205.0;858.0;0.1;28.0;0.0;0.0;15;0;0;1
407;"MASCARPONE";453.0;1895.0;7.6;2.0;47.0;29.17;7;0;0;6
408;"MELA [PYRUS MALUS]";45.0;188.0;0.2;11.0;0.3;0.07;15;0;0;9
409;"MELA COTOGNA [PYRUS CYDONIA]";34.0;142.0;0.3;6.3;1.0;0.1;15;0;0;9
410;"MELA, polpa secca";243.0;1017.0;0.9;57.2;0.3;0.05;15;0;0;1
411;"MELAGRANE [PUNICA GRANATUM]";63.0;264.0;0.5;15.9;0.2;0.03;15;0;0;9
412;"MELANZANE [SOLANUM MELONGEA]";15.0;63.0;1.1;2.6;0.1;0.02;15;0;0;9
413;"MELANZANE SOTT'OLIO";49.0;205.0;1.1;2.5;4.0;0.46;15;0;0;1
414;"MELONE D'ESTATE [CUCUMIS MELO]";33.0;138.0;0.8;7.4;0.2;0.05;15;0;0;9
415;"MELONE D'INVERNO [CUCUMIS MELO, CV INDORUS]";22.0;92.0;0.5;4.9;0.2;0.05;15;0;0;9
416;"MELU' O PESCE MOLO [GADUS POTASSOU]";72.0;301.0;17.4;0.0;0.3;0.06;4;0;0;13
417;"MENTA [MENTHA SPICATA], fresca";43.0;180.0;3.8;5.3;0.7;0.12;15;0;0;11
418;"MENTA, secca";279.0;1167.0;24.8;34.6;4.6;0.76;15;0;0;11
419;"MERENDINE AL CIOCCOLATO";352.0;1473.0;6.5;60.0;9.5;3.78;15;0;0;1
420;"MERENDINE CON MARMELLATA";359.0;1502.0;5.5;69.8;8.3;2.45;15;0;0;1
421;"MERENDINE FARCITE";414.0;1732.0;6.2;67.6;15.1;5.51;15;0;0;1
422;"MERENDINE TIPO PAN DI SPAGNA";463.0;1937.0;8.3;60.9;22.3;8.14;1;3;0;1
423;"MERINGA";379.0;1586.0;5.3;95.4;2.0;2.0;3;0;0;1
424;"MERLUZZO [MERLUCCIUS MERLUCCIUS]";71.0;297.0;17.0;0.0;0.3;0.06;4;0;0;13
425;"MERLUZZO SURGELATO";75.0;314.0;17.3;0.0;0.6;0.11;4;0;0;14
426;"MIELE";303.0;1268.0;0.6;80.3;0.0;0.0;15;0;0;1
427;"MIRTILLO NERO [VACCINIUM MYRTILLUS]";30.0;126.0;0.6;6.9;0.2;0.02;15;0;0;9
428;"MISO";203.0;849.0;13.3;23.5;6.2;0.89;6;0;0;1
429;"MONTASIO";411.0;1720.0;30.3;2.0;32.2;19.98;7;0;0;6
430;"MORA DI GELSO [MORUS NIGRA]";36.0;151.0;1.3;8.1;2.0;0.0;15;0;0;9
431;"MORA DI ROVO [RUBUS FRUTICOSUS]";26.0;109.0;1.3;5.7;2.0;0.0;15;0;0;9
432;"MORTADELLA DI SUINO";317.0;1326.0;14.7;1.5;28.1;9.22;15;0;0;7
433;"MORTADELLA DI SUINO E BOVINO";388.0;1623.0;13.3;0.5;37.0;12.14;15;0;0;7
434;"MOZZARELLA";243.0;1017.0;19.9;4.9;16.1;10.01;7;0;0;6
435;"MOZZARELLA DI BUFALA";240.0;1004.0;15.7;3.3;18.3;11.47;7;0;0;6
436;"MUESLI";364.0;1523.0;10.6;71.1;5.9;1.04;15;0;0;1
437;"NATTO";212.0;887.0;17.7;9.0;11.0;1.59;6;0;0;1
438;"NESPOLE [ERIOBOTRYA JAPONICA]";28.0;117.0;0.4;6.1;0.4;0.08;15;0;0;9
439;"NOCCIOLE [CORYLUS AVELLANA]";625.0;2615.0;13.0;1.8;62.9;4.08;8;0;0;1
440;"NOCE DI COCCO [COCOS NUCIFERA]";351.0;1469.0;3.2;3.7;36.0;30.93;15;0;0;9
441;"NOCE MOSCATA [MYRISTICA FRAGRANS]";395.0;1653.0;8.8;26.3;29.0;20.72;15;0;0;1
442;"NOCI [JUGLANS REGIA], fresche";582.0;2435.0;10.5;5.5;57.7;4.72;8;0;0;1
443;"NOCI, secche";660.0;2761.0;15.8;6.3;63.7;5.21;8;0;0;1
444;"NORI [PORPHYRA LACINIATA], secca";136.0;569.0;30.7;2.0;1.5;0.33;15;0;0;1
445;"OCA [ANSER ANSER]";373.0;1561.0;15.8;0.0;34.4;9.39;15;0;0;7
446;"OLIO DI COCCO";899.0;3761.0;2.0;0.0;99.9;86.8;15;0;0;1
447;"OLIO DI COLZA";899.0;3761.0;2.0;0.0;99.9;6.31;15;0;0;1
448;"OLIO DI GERME DI GRANO";899.0;3761.0;2.0;0.0;99.9;18.5;1;0;0;1
449;"OLIO DI MAIS VITAMINIZZATO";899.0;3761.0;2.0;0.0;99.9;14.96;15;0;0;1
450;"OLIO DI OLIVA";900.0;3766.0;0.0;0.0;100.0;16.16;15;0;0;1
451;"OLIO DI OLIVA EXTRAVERGINE";900.0;3766.0;0.0;0.0;100.0;16.16;15;0;0;1
452;"OLIO DI OLIVA VITAMINIZZATO";900.0;3766.0;0.0;0.0;100.0;16.16;15;0;0;1
453;"OLIO DI PALMA";899.0;3761.0;2.0;0.0;99.9;47.1;15;0;0;1
454;"OLIO DI SEMI DI ARACHIDI";900.0;3766.0;0.0;0.0;100.0;19.39;5;0;0;1
455;"OLIO DI SEMI DI GIRASOLE";899.0;3761.0;2.0;0.0;99.9;11.24;15;0;0;1
456;"OLIO DI SEMI DI MAIS";899.0;3761.0;2.0;0.0;99.9;14.96;15;0;0;1
457;"OLIO DI SEMI VARI";900.0;3766.0;0.0;0.0;100.0;10.28;8;5;0;1
458;"OLIO DI SESAMO";898.0;3757.0;0.2;0.0;99.7;13.15;11;0;0;1
459;"OLIO DI SOIA";899.0;3761.0;2.0;0.0;99.9;14.02;6;0;0;1
460;"OLIO DI VINACCIOLO";899.0;3761.0;2.0;0.0;99.9;9.23;15;0;0;1
461;"OLIVE DA TAVOLA, CONSERVATE";268.0;1121.0;1.5;5.0;27.0;3.78;15;0;0;1
462;"OLIVE NERE [OLEA EUROPEA SATIVA]";234.0;979.0;1.6;0.8;25.1;3.51;15;0;0;1
463;"OLIVE VERDI [OLEA EUROPEA]";142.0;594.0;0.8;1.0;15.0;2.1;15;0;0;1
464;"OMBRINA [OMBRINA CIRROSA] SURGELATA";78.0;326.0;17.2;0.8;0.7;0.09;4;0;0;13
465;"ORATA [SPARUS AURATUS], SURGELATA";90.0;377.0;19.8;0.0;1.2;0.15;4;0;0;13
466;"ORIGANO [ORIGANUM VULGARE], fresco";66.0;276.0;2.2;9.7;2.0;0.52;15;0;0;1
467;"ORIGANO, secco macinato";306.0;1280.0;11.0;49.5;10.3;2.67;15;0;0;1
468;"ORTICA [URTICA DIOICA]";36.0;151.0;5.9;1.3;0.7;0.09;15;0;0;11
469;"ORZO [HORDEUM VULGARE], PERLATO";318.0;1331.0;10.4;70.5;1.4;0.29;1;0;0;1
470;"ORZO SOLUBILE O CAFFE' D'ORZO, in polvere";372.0;1556.0;5.5;80.9;3.4;0.63;1;0;0;1
471;"ORZO SOLUBILE O CAFFE' D'ORZO, in tazza";5.0;21.0;0.1;1.0;2.0;0.01;1;0;0;1
472;"OSTRICA [OSTREA EDULIS]";69.0;289.0;10.2;5.4;0.9;0.17;14;0;0;13
473;"OVINO, CUORE";134.0;561.0;16.9;0.4;7.2;2.78;15;0;0;7
474;"OVINO, FEGATO";135.0;565.0;19.5;2.0;5.5;1.7;15;0;0;7
475;"PALOMBO [MUSTELUS MUSTELUS]";80.0;335.0;16.0;1.3;1.2;0.17;4;0;0;13
476;"PAN DI SPAGNA";314.0;1314.0;8.5;59.4;6.4;2.34;1;3;0;1
477;"PANCARRE' AMERICANO COMUNE";267.0;1117.0;8.2;46.9;3.6;0.81;1;0;0;1
478;"PANCETTA AFFUMICATA O BACON";276.0;1155.0;15.8;0.0;23.6;8.0;15;0;0;7
479;"PANCETTA COPPATA";394.0;1648.0;20.9;0.7;34.2;14.0;15;0;0;7
480;"PANCETTA DI MAIALE";661.0;2766.0;8.4;1.0;69.3;24.3;15;0;0;7
481;"PANCETTA MAGRETTA";314.0;1314.0;21.7;0.0;25.3;9.28;15;0;0;7
482;"PANCETTA TESA";337.0;1410.0;20.9;0.0;28.1;9.61;15;0;0;7
483;"PANE AL LATTE";347.0;1452.0;8.6;64.9;7.6;2.7;1;7;0;1
484;"PANE ALLE OLIVE";286.0;1197.0;7.0;52.6;6.7;1.07;1;0;0;1
485;"PANE COMUNE, pezzatura da g";279.0;1167.0;8.1;64.7;0.2;0.05;1;0;0;1
486;"PANE CONDITO";284.0;1188.0;13.3;56.9;3.4;0.99;1;0;0;1
487;"PANE DI GRANO DURO";245.0;1025.0;10.1;49.1;2.3;0.41;1;0;0;1
488;"PANE DI GRANO E SEGALE";226.0;946.0;6.2;47.7;1.1;0.15;1;0;0;1
489;"PANE DI SEGALE";219.0;916.0;8.3;45.8;1.7;0.32;1;0;0;1
490;"PANE DI SEGALE BISCOTTATO";284.0;1188.0;9.4;46.7;3.6;0.69;1;0;0;1
491;"PANE DI SOIA";276.0;1155.0;12.0;41.7;6.8;1.04;1;6;0;1
492;"PANE GRATTUGIATO";354.0;1481.0;11.6;77.5;1.9;0.44;1;0;0;1
493;"PANE INTEGRALE";243.0;1017.0;7.5;53.8;1.3;0.3;1;0;0;1
494;"PANE TOSTATO";298.0;1247.0;8.8;69.2;0.5;0.12;1;0;0;1
495;"PANE, TIPO , pezzatura > g";267.0;1117.0;8.9;60.3;0.6;0.14;1;0;0;1
496;"PANE, TIPO , pezzatura da g";276.0;1155.0;8.1;64.0;0.5;0.11;1;0;0;1
497;"PANE, TIPO , pezzatura da g";290.0;1213.0;8.2;67.5;0.4;0.1;1;0;0;1
498;"PANETTONE";334.0;1397.0;6.4;56.5;10.7;5.57;1;0;0;1
499;"PANINI ALL'OLIO";302.0;1264.0;7.7;58.3;5.8;0.96;15;0;0;1
500;"PANNA, % di lipidi";337.0;1410.0;2.3;3.4;35.0;20.47;7;0;0;6
501;"PANNA, % di lipidi";292.0;1222.0;2.6;3.2;30.0;17.55;7;0;0;6
502;"PANNA, % di lipidi (da cucina)";206.0;862.0;2.8;3.9;20.0;11.7;7;0;0;6
503;"PANNA, a basso contenuto di colesterolo";206.0;862.0;2.8;3.9;20.0;11.7;7;0;0;6
504;"PAPAYA [CARICA PAPAYA]";36.0;151.0;0.5;8.8;0.1;0.03;15;0;0;7
505;"PAPRIKA [CAPSICUM ANNUUM], in polvere";306.0;1280.0;14.8;34.8;13.0;2.11;15;0;0;1
506;"PARMIGIANO";374.0;1565.0;36.0;2.0;25.6;16.89;7;0;0;6
507;"PASTA ALL'UOVO, fresca";309.0;1293.0;11.8;63.2;2.8;0.79;1;3;0;2
508;"PASTA ALL'UOVO, secca";368.0;1540.0;13.0;78.6;2.4;0.67;1;3;0;1
509;"PASTA DI MANDORLE";467.0;1954.0;8.0;54.3;25.8;2.14;8;0;0;1
510;"PASTA DI OLIVE";331.0;1385.0;1.4;4.5;34.3;5.02;15;0;0;1
511;"PASTA DI SEMOLA";341.0;1426.0;13.5;72.7;1.2;0.07;1;0;0;1
512;"PASTA DI SEMOLA INTEGRALE";324.0;1356.0;13.4;66.2;2.5;0.58;1;0;0;1
513;"PASTA FROLLA";480.0;2008.0;7.7;61.3;24.3;10.25;1;0;0;2
514;"PASTA SFOGLIA";560.0;2343.0;5.6;45.9;40.6;15.77;1;0;0;2
515;"PASTI DIETETICI SOSTITUTIVI";355.0;1485.0;26.0;41.5;9.4;2.0;15;0;0;2
516;"PASTICCINI AL COCCO";404.0;1690.0;3.6;70.4;12.7;11.24;15;0;0;2
517;"PASTORELLA";364.0;1523.0;26.9;2.0;28.5;17.69;7;0;0;6
518;"PATATE [SOLANUM TUBEROSUM]";85.0;356.0;2.1;18.0;1.0;0.19;15;0;0;11
519;"PATATE DOLCI [IPOMAEA BATATAS]";87.0;364.0;1.2;21.3;0.3;0.06;15;0;0;11
